Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,9,8,10,8,10,10,8,63
Care Health Insurance Company Limited,Care,8,8,10,6,10,10,9,61
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),7,8,10,8,10,10,8,61
Liberty General Insurance Company Limited,Health Connect E-Connect,8,8,10,8,10,10,7,61
HDFC Ergo Health Insurance,Optima Restore,7,6,10,8,10,10,9,60
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),6,8,10,8,10,10,8,60
Reliance General Insurance,HealthGain - Plan A,7,6,10,8,10,10,9,60
HDFC Ergo Health Insurance,Health Wallet,5,6,10,8,10,10,9,58
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),6,6,10,8,10,10,8,58
Max Bupa Health Insurance,Health Companion,5,6,10,8,10,10,9,58
Bajaj Allianz General Insurance Company Limited,Health Guard,6,6,10,8,10,10,8,58
Star Health Insurance,Comprehensive Insurance,7,6,10,8,10,10,6,57
Liberty General Insurance Company Limited,Health Connect Elite,6,6,10,8,10,10,7,57
Aditya Birla Health Insurance,Activ Assure - Diamond,8,8,10,6,10,10,5,57
Royal Sundaram General Insurance Company,Lifeline - Supreme,6,6,10,8,10,10,7,57
Future Generali India Insurance Company Ltd.,Health Total - Vital,7,3,10,8,10,10,9,57
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,5,8,10,8,10,10,5,56
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,9,6,10,6,10,10,4,55
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,6,8,10,6,10,10,5,55
Future Generali India Insurance Company Ltd.,Health Suraksha - Gold,9,8,10,6,3,10,9,55
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,8,8,3,8,10,10,8,55
Liberty General Insurance Company Limited,Health Connect Basic,8,8,10,8,3,10,7,54
Liberty General Insurance Company Limited,Health Connect Supreme,6,3,10,8,10,10,7,54
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,4,6,10,8,10,10,5,53
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),6,3,10,6,10,10,8,53
Tata AIG,Tata AIG MediCare Premier,5,3,10,8,10,10,5,51
Aditya Birla Health Insurance,Activ Health Platinum - Essential,7,8,10,8,3,10,5,51
Max Bupa Health Insurance,GoActive,3,6,10,3,10,10,9,51
Iffco Tokio General,Individual Health Protector,7,6,10,6,3,10,9,51
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,3,3,10,6,10,10,8,50
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,7,8,10,6,3,10,5,49
Cholamandalam MS General Insurance Company Limited,Classic Health - Individual - Plan c,7,8,10,6,3,10,5,49
Star Health Insurance,Mediclassic Insurance Policy (Individual),8,8,3,4,10,10,6,49
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,4,8,10,8,3,10,5,48
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom PLan,6,8,10,6,3,10,5,48
Cholamandalam MS General Insurance Company Limited,Healthline - Value Plan,8,8,10,4,3,10,5,48
Liberty General Insurance Company Limited,Secure Health Connect,10,8,3,6,3,10,7,47
Max Bupa Health Insurance,Heartbeat (Gold plan),3,3,10,8,3,10,9,46
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,3,8,10,6,3,10,5,45
United India Insurance Company,Mediclaim Platinum,9,8,3,3,3,10,8,44
National Insurance Company,Mediclaim Policy,8,8,3,8,3,10,3,43
The New India Assurance Company,Mediclaim Policy,7,8,3,3,3,10,8,42
Universal Sompo GIC Ltd.,Individual Health Insurance,10,8,3,4,3,10,4,42
Cholamandalam MS General Insurance Company Limited,Individual Healthline Insurance-Standard Plan,6,8,3,6,3,10,5,41
Bajaj Allianz General Insurance Company Limited,Health Ensure,8,3,3,4,3,10,8,39
SBI General Insurance Company Ltd.,Health Insurance Plan - Retail,8,8,3,4,3,10,3,39
The Oriental Insurance Company,Mediclaim Policy (individual),8,8,3,3,3,10,3,38
Star Health Insurance,Senior Citizen Red Carpet Health Insurance Policy,7,3,3,3,3,10,6,35
National Insurance Company,Mediclaim Plus Policy-Plan A,4,6,3,6,3,10,3,35
