Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,8,9,10,8,10,10,8,63
Care Health Insurance Company Limited,Care,9,9,10,5,10,10,9,62
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),8,9,10,8,10,10,7,62
Aditya Birla Health Insurance,Activ Assure - Diamond,9,9,10,5,10,10,9,62
SBI General Insurance Company Ltd.,Arogya Premier,8,9,10,5,10,10,8,60
HDFC Ergo Health Insurance,Optima Restore,7,6,10,8,10,10,8,59
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,6,6,10,8,10,10,8,58
Bajaj Allianz General Insurance Company Limited,Health Guard,7,6,10,8,10,10,7,58
HDFC Ergo Health Insurance,Health Wallet,6,6,10,8,10,10,7,57
Cholamandalam MS General Insurance Company Limited,Healthline -Privilege Plan,3,9,10,5,10,10,9,56
Royal Sundaram General Insurance Company,Lifeline - Supreme,8,6,10,8,10,10,4,56
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,9,9,3,8,10,10,7,56
Star Health Insurance,Comprehensive Insurance,8,6,10,8,10,10,4,56
Max Bupa Health Insurance,Health Companion,8,6,10,8,3,10,8,53
Cholamandalam MS General Insurance Company Limited,Healthline -Enrich Plan,4,9,10,8,3,10,7,51
Reliance General Insurance,HealthGain - Plan B,7,6,10,8,3,10,7,51
Future Generali India Insurance Company Ltd.,Health Total - Superior,7,3,10,8,10,10,3,51
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,6,3,10,5,10,10,7,51
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,8,9,10,5,3,10,4,49
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,3,10,5,3,10,8,47
Iffco Tokio General,Individual Health Protector,8,6,10,5,3,10,4,46
Max Bupa Health Insurance,Heartbeat (Platinum plan),3,3,10,8,3,10,9,46
Max Bupa Health Insurance,Heartbeat (Gold plan),4,3,10,8,3,10,3,41
The New India Assurance Company,Premier Mediclaim,4,6,10,3,3,10,4,40
National Insurance Company,Mediclaim Plus Policy-Plan B,4,6,3,5,3,10,6,37
