Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,8,8,10,3,3,10,6,48
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,6,8,10,3,3,10,7,47
Royal Sundaram General Insurance Company,Lifeline - Supreme,7,6,10,3,3,10,6,45
Max Bupa Health Insurance,Health Companion,6,6,10,3,3,10,7,45
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),7,3,10,3,3,10,7,43
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,3,3,10,3,3,10,10,42
Care Health Insurance Company Limited,Care,8,8,10,3,3,0,8,40
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),9,8,10,3,3,0,6,39
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,4,6,10,3,3,10,3,39
Future Generali India Insurance Company Ltd.,Health Total - Superior,8,6,10,3,3,0,7,37
Aditya Birla Health Insurance,Activ Assure - Diamond,8,8,10,3,3,0,3,35
