Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Protect Plan),8,8,10,8,10,10,8,62,18556.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Care Health Insurance Company Limited,Care,8,8,10,6,10,10,9,61,19513.0,4.0,SINGLE PRIVATE,50.0,YES,NO,92.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Accumulate Plan),7,8,10,8,10,10,8,61,22921.0,4.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Reliance General Insurance,HealthGain - Plan B,8,5,10,8,10,10,9,60,17871.0,3.0,SINGLE PRIVATE,100.0,YES,NO,93.0
HDFC Ergo General Insurance Company Limited,Health Suraksha Gold - Regain ECB,6,8,10,8,10,10,8,60,26399.0,4.0,NO,100.0,YES,NO,89.0
Star Health Insurance,Family Health Optima Insurance Plan,8,8,10,8,10,10,6,60,20845.0,4.0,SINGLE PRIVATE,100.0,YES,NO,83.0
HDFC Ergo Health Insurance,Optima Restore,7,5,10,8,10,10,9,59,21618.0,3.0,NO,100.0,YES,NO,92.0
Royal Sundaram General Insurance Company,Lifeline - Supreme Family Floater,8,5,10,8,10,10,7,58,18845.0,3.0,NO,100.0,YES,NO,86.0
Bajaj Allianz General Insurance Company Limited,Health Guard,7,5,10,8,10,10,8,58,25080.0,3.0,NO,100.0,YES,NO,89.0
Max Bupa Health Insurance,Health Companion,7,5,10,8,10,10,8,58,22982.0,3.0,NO,100.0,YES,NO,90.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Insurance (Plus Plan),7,5,10,8,10,10,8,58,21942.0,3.0,SINGLE PRIVATE,100.0,YES,NO,87.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Edge,7,8,10,8,10,10,5,58,21662.0,4.0,NO,100.0,YES,NO,77.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Advantage,8,8,10,6,10,10,5,57,20224.0,4.0,NO,50.0,YES,NO,77.0
Liberty General Insurance Company Limited,Health Connect Elite,7,5,10,8,10,10,7,57,25378.0,3.0,NO,100.0,YES,NO,84.0
HDFC Ergo Health Insurance,Health Wallet,5,5,10,8,10,10,9,57,34234.0,3.0,NO,100.0,YES,NO,92.0
Aditya Birla Health Insurance,Activ Assure - Diamond,8,8,10,6,10,10,5,57,19640.0,4.0,NO,50.0,YES,NO,77.0
Future Generali India Insurance Company Ltd.,Health Total,7,3,10,8,10,10,8,56,21246.0,2.0,NO,100.0,YES,NO,90.0
Star Health Insurance,Comprehensive Insurance,7,5,10,8,10,10,6,56,25152.0,3.0,SINGLE PRIVATE,100.0,YES,NO,83.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,8,8,3,8,10,10,8,55,17718.0,4.0,2% SI,100.0,YES,NO,87.0
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,7,5,10,8,10,10,5,55,24861.0,3.0,NO,100.0,YES,NO,77.0
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,3,10,6,10,10,8,55,18126.0,2.0,NO,50.0,YES,NO,88.0
Bharti AXA,Smart Super Health Insurance- Classic,8,8,10,3,10,10,5,54,20242.0,4.0,NO,0.0,YES,NO,79.0
